User ID,Project ID,Component Added At,Component ID
495,159,6/18/2023,158
30,150,6/16/2023,3
302,317,6/13/2023,60
472,209,6/13/2023,173
18,84,6/13/2023,209
76,134,6/12/2023,157
27,141,6/11/2023,99
320,14,6/15/2023,242
181,221,6/18/2023,290
188,142,6/3/2023,3
212,260,6/21/2023,155
182,373,6/23/2023,266
207,358,6/16/2023,53
334,66,6/21/2023,216
199,47,6/12/2023,243
331,137,6/8/2023,78
26,288,6/17/2023,56
224,250,6/18/2023,5
410,321,6/13/2023,115
156,155,6/12/2023,231
315,249,6/15/2023,108
28,34,6/7/2023,201
255,324,6/9/2023,51
391,273,6/17/2023,56
306,38,6/20/2023,245
56,12,6/8/2023,299
482,277,6/16/2023,316
14,109,6/15/2023,149
84,81,6/7/2023,211
21,346,6/24/2023,130
461,108,6/16/2023,124
6,263,6/9/2023,189
459,182,6/15/2023,59
283,147,6/14/2023,213
147,67,6/22/2023,107
81,149,6/8/2023,203
31,220,6/13/2023,230
198,258,6/22/2023,163
423,122,6/21/2023,281
196,308,6/12/2023,248
178,239,6/18/2023,93
175,311,6/16/2023,129
468,245,6/11/2023,151
197,42,6/21/2023,211
336,360,6/4/2023,130
5,191,6/6/2023,295
36,238,6/8/2023,16
106,75,6/18/2023,242
233,168,6/11/2023,85
236,197,6/11/2023,96
94,385,6/11/2023,118
251,378,6/12/2023,216
195,329,6/3/2023,197
395,80,6/8/2023,223
487,364,6/9/2023,130
417,177,6/15/2023,286
191,203,6/16/2023,21
494,53,6/24/2023,197
88,63,6/11/2023,263
339,253,6/20/2023,52
278,112,6/14/2023,230
213,377,6/22/2023,240
299,233,6/17/2023,165
32,114,6/20/2023,212
91,257,6/12/2023,132
150,49,6/7/2023,212
126,261,6/5/2023,129
452,226,6/7/2023,297
258,284,6/8/2023,206
477,73,6/16/2023,268
134,69,6/16/2023,131
412,307,6/25/2023,279
66,368,6/8/2023,200
89,275,6/13/2023,39
99,111,6/11/2023,151
121,282,6/22/2023,131
441,268,6/7/2023,111
183,157,6/19/2023,300
476,98,6/6/2023,32
139,85,6/15/2023,259
269,70,6/13/2023,264
168,370,6/18/2023,188
194,20,6/11/2023,219
418,256,6/11/2023,126
77,345,6/7/2023,301
464,254,6/11/2023,151
165,24,6/6/2023,67
148,96,6/14/2023,42
422,310,6/12/2023,105
102,302,6/18/2023,131
369,316,6/11/2023,184
396,99,6/11/2023,176
118,213,6/12/2023,283
260,139,6/11/2023,23
316,15,6/18/2023,309
16,355,6/22/2023,152
340,312,6/13/2023,93
222,121,6/13/2023,42
90,313,6/18/2023,23
398,173,6/12/2023,147
285,51,6/16/2023,284
462,56,6/8/2023,286
73,366,6/9/2023,11
242,381,6/18/2023,28
25,362,6/12/2023,275
384,131,6/16/2023,60
180,298,6/17/2023,31
55,13,6/12/2023,312
382,76,6/21/2023,150
386,6,6/18/2023,194
201,21,6/8/2023,304
480,227,6/13/2023,316
501,136,6/8/2023,143
95,43,6/14/2023,193
446,279,6/8/2023,178
228,309,6/9/2023,37
124,222,6/21/2023,118
158,382,6/1/2023,188
371,306,6/22/2023,33
326,371,6/10/2023,137
446,175,6/11/2023,279
444,271,6/8/2023,264
124,276,6/14/2023,124
158,334,6/9/2023,270
371,59,6/16/2023,66
155,32,6/5/2023,316
46,135,6/17/2023,172
473,235,6/8/2023,209
86,218,6/12/2023,142
170,36,6/15/2023,13
497,314,6/17/2023,158
72,189,6/9/2023,128
314,331,6/16/2023,18
68,357,6/12/2023,212
303,348,6/12/2023,19
286,267,6/16/2023,89
239,300,6/22/2023,93
289,170,6/12/2023,151
323,40,6/8/2023,221
280,194,6/10/2023,26
454,118,6/13/2023,293
17,361,6/13/2023,31
60,337,6/15/2023,116
475,55,6/14/2023,240
41,290,6/6/2023,154
205,295,6/16/2023,194
193,179,6/14/2023,10
353,183,6/16/2023,189
216,52,6/13/2023,58
429,299,6/8/2023,287
312,5,6/21/2023,66
402,342,6/15/2023,223
138,64,6/5/2023,236
104,18,6/17/2023,109
478,86,6/16/2023,38
179,259,6/11/2023,122
74,289,6/13/2023,192
161,174,6/19/2023,147
225,92,6/8/2023,263
346,165,6/19/2023,56
184,353,6/12/2023,250
313,344,6/15/2023,132
411,369,6/7/2023,84
442,172,6/3/2023,199
275,100,6/10/2023,115
499,243,6/10/2023,257
393,236,6/9/2023,34
11,61,6/13/2023,22
496,167,6/23/2023,202
82,54,6/14/2023,226
358,204,6/10/2023,192
112,41,6/5/2023,217
235,190,6/4/2023,72
217,127,6/13/2023,257
367,110,6/17/2023,86
413,336,6/14/2023,60
252,138,6/17/2023,131
329,354,6/5/2023,83
214,186,6/18/2023,180
203,280,6/16/2023,81
308,22,6/13/2023,298
345,87,6/11/2023,76
261,217,6/19/2023,316
43,37,6/15/2023,263
272,231,6/17/2023,130
137,386,6/12/2023,10
9,140,6/13/2023,81
153,181,6/6/2023,197
83,359,6/18/2023,74
463,39,6/22/2023,119
109,304,6/13/2023,85
57,372,6/18/2023,243
276,199,6/10/2023,169
403,330,6/10/2023,259
243,124,6/13/2023,209
157,384,6/13/2023,153
401,176,6/24/2023,93
328,294,6/4/2023,21
400,120,6/19/2023,159
47,244,6/9/2023,17
250,68,6/12/2023,120
431,356,6/15/2023,254
247,107,6/12/2023,237
8,237,6/12/2023,167
416,241,6/19/2023,110
87,202,6/15/2023,178
342,374,6/14/2023,148
97,27,6/12/2023,18
15,255,6/11/2023,165
295,240,6/18/2023,224
63,50,6/14/2023,277
20,2,6/13/2023,206
337,206,6/18/2023,249
300,229,6/23/2023,130
338,327,6/17/2023,90
321,25,6/12/2023,153
123,79,6/11/2023,244
381,143,6/11/2023,158
190,126,6/17/2023,22
293,303,6/18/2023,109
171,205,6/5/2023,41
419,158,6/15/2023,110
453,152,6/8/2023,162
50,44,6/18/2023,164
4,58,6/20/2023,160
232,102,6/3/2023,14
130,232,6/21/2023,33
500,332,6/9/2023,276
439,171,6/21/2023,178
277,365,6/20/2023,283
343,286,6/13/2023,287
456,91,6/8/2023,85
481,351,6/12/2023,115
220,291,6/18/2023,102
292,95,6/6/2023,116
307,262,6/8/2023,22
347,105,6/11/2023,272
405,343,6/7/2023,12
333,246,6/17/2023,182
129,106,6/16/2023,12
279,161,6/9/2023,250
22,269,6/17/2023,290
59,379,6/16/2023,9
445,30,6/13/2023,29
466,318,6/18/2023,9
204,130,6/16/2023,145
174,117,6/22/2023,177
67,234,6/7/2023,72
80,198,6/10/2023,102
406,216,6/8/2023,2
237,8,6/21/2023,21
266,376,6/10/2023,61
79,211,6/14/2023,18
149,223,6/10/2023,257
440,162,6/17/2023,302
39,151,6/22/2023,264
490,367,6/14/2023,205
24,153,6/2/2023,51
273,11,6/16/2023,300
69,201,6/22/2023,165
492,188,6/18/2023,84
304,125,6/11/2023,90
420,48,6/14/2023,61
34,89,6/15/2023,280
100,319,6/23/2023,201
491,305,6/18/2023,114
101,208,6/19/2023,41
70,215,6/14/2023,184
470,193,6/12/2023,151
438,265,6/15/2023,158
209,17,6/20/2023,71
234,375,6/15/2023,88
13,323,6/18/2023,17
368,390,6/27/2023,95
70,391,6/11/2023,275
470,392,6/14/2023,202
438,393,6/15/2023,303
209,394,6/19/2023,50
378,395,6/5/2023,128
495,159,6/20/2023,268
30,150,6/17/2023,217
302,317,6/13/2023,302
472,209,6/14/2023,201
76,134,6/12/2023,123
27,141,6/13/2023,203
320,14,6/15/2023,96
181,221,6/20/2023,181
188,142,6/3/2023,168
207,358,6/19/2023,253
334,66,6/24/2023,210
331,137,6/11/2023,113
26,288,6/20/2023,185
224,250,6/20/2023,112
410,321,6/15/2023,314
156,155,6/15/2023,204
315,249,6/18/2023,48
255,324,6/11/2023,165
391,273,6/19/2023,158
306,38,6/21/2023,119
56,12,6/11/2023,147
14,109,6/17/2023,264
84,81,6/7/2023,215
21,346,6/26/2023,170
461,108,6/16/2023,38
6,263,6/11/2023,135
459,182,6/18/2023,182
147,67,6/25/2023,163
31,220,6/15/2023,65
423,122,6/22/2023,263
196,308,6/13/2023,252
468,245,6/12/2023,105
197,42,6/25/2023,284
336,360,6/7/2023,75
5,191,6/6/2023,139
36,238,6/10/2023,301
233,168,6/13/2023,224
236,197,6/14/2023,233
94,385,6/15/2023,23
251,378,6/12/2023,7
195,329,6/3/2023,81
395,80,6/8/2023,228
487,364,6/10/2023,304
417,177,6/16/2023,211
191,203,6/18/2023,121
494,53,6/27/2023,91
88,63,6/14/2023,258
278,112,6/15/2023,78
213,377,6/23/2023,216
299,233,6/18/2023,316
32,114,6/23/2023,40
91,257,6/12/2023,216
150,49,6/8/2023,296
126,261,6/8/2023,131
452,226,6/9/2023,2
477,73,6/18/2023,247
134,69,6/19/2023,55
99,111,6/13/2023,288
121,282,6/25/2023,256
441,268,6/8/2023,98
476,98,6/6/2023,15
139,85,6/18/2023,87
269,70,6/16/2023,37
168,370,6/21/2023,242
194,20,6/14/2023,183
418,256,6/15/2023,54
77,345,6/9/2023,85
464,254,6/13/2023,53
165,24,6/9/2023,232
148,96,6/16/2023,12
422,310,6/16/2023,278
102,302,6/19/2023,305
369,316,6/13/2023,43
396,99,6/11/2023,124
118,213,6/15/2023,39
260,139,6/14/2023,237
316,15,6/21/2023,161
16,355,6/25/2023,313
340,312,6/17/2023,95
222,121,6/15/2023,129
90,313,6/20/2023,253
398,173,6/15/2023,72
285,51,6/18/2023,313
73,366,6/9/2023,204
242,381,6/19/2023,260
25,362,6/15/2023,277
384,131,6/16/2023,24
180,298,6/20/2023,109
55,13,6/15/2023,174
382,76,6/23/2023,99
386,6,6/18/2023,257
201,21,6/8/2023,282
501,136,6/9/2023,132
95,43,6/17/2023,260
446,279,6/11/2023,215
228,309,6/12/2023,90
124,222,6/24/2023,258
158,382,6/1/2023,202
371,306,6/24/2023,18
326,371,6/11/2023,274
446,175,6/14/2023,110
444,271,6/8/2023,1
124,276,6/15/2023,3
158,334,6/11/2023,180
371,59,6/18/2023,208
155,32,6/8/2023,167
46,135,6/18/2023,278
473,235,6/8/2023,258
86,218,6/15/2023,26
170,36,6/16/2023,317
72,189,6/10/2023,187
314,331,6/17/2023,253
68,357,6/15/2023,100
303,348,6/13/2023,154
286,267,6/16/2023,290
239,300,6/24/2023,298
289,170,6/14/2023,234
323,40,6/11/2023,145
280,194,6/11/2023,87
454,118,6/16/2023,305
17,361,6/15/2023,123
60,337,6/16/2023,142
475,55,6/17/2023,230
41,290,6/6/2023,164
205,295,6/18/2023,145
193,179,6/17/2023,207
353,183,6/20/2023,75
216,52,6/16/2023,61
429,299,6/9/2023,175
402,342,6/18/2023,77
138,64,6/5/2023,211
104,18,6/20/2023,201
478,86,6/18/2023,151
74,289,6/13/2023,290
225,92,6/9/2023,227
346,165,6/23/2023,143
313,344,6/18/2023,256
411,369,6/7/2023,108
442,172,6/3/2023,236
275,100,6/10/2023,115
499,243,6/10/2023,112
393,236,6/12/2023,303
11,61,6/16/2023,174
496,167,6/26/2023,160
82,54,6/15/2023,156
358,204,6/13/2023,48
112,41,6/8/2023,299
235,190,6/4/2023,190
217,127,6/15/2023,131
367,110,6/17/2023,262
413,336,6/16/2023,245
252,138,6/18/2023,32
329,354,6/7/2023,204
214,186,6/20/2023,147
308,22,6/15/2023,277
345,87,6/11/2023,237
261,217,6/22/2023,139
43,37,6/15/2023,239
272,231,6/20/2023,192
137,386,6/12/2023,71
9,140,6/13/2023,124
153,181,6/7/2023,245
83,359,6/21/2023,265
109,304,6/13/2023,23
57,372,6/21/2023,16
276,199,6/11/2023,80
403,330,6/13/2023,204
243,124,6/13/2023,211
157,384,6/13/2023,156
47,244,6/11/2023,193
250,68,6/15/2023,189
431,356,6/18/2023,141
247,107,6/15/2023,143
8,237,6/15/2023,76
416,241,6/22/2023,46
87,202,6/17/2023,134
342,374,6/17/2023,65
97,27,6/15/2023,42
15,255,6/12/2023,168
295,240,6/22/2023,181
337,206,6/21/2023,100
300,229,6/24/2023,313
338,327,6/18/2023,222
123,79,6/13/2023,235
381,143,6/14/2023,25
190,126,6/19/2023,175
453,152,6/10/2023,270
4,58,6/23/2023,70
232,102,6/6/2023,44
439,171,6/25/2023,48
277,365,6/22/2023,187
343,286,6/15/2023,188
481,351,6/14/2023,119
292,95,6/8/2023,38
405,343,6/8/2023,40
333,246,6/18/2023,300
129,106,6/19/2023,92
279,161,6/10/2023,121
22,269,6/20/2023,239
445,30,6/16/2023,14
466,318,6/20/2023,54
204,130,6/17/2023,287
174,117,6/24/2023,111
67,234,6/9/2023,30
80,198,6/12/2023,150
406,216,6/9/2023,301
237,8,6/22/2023,33
440,162,6/18/2023,284
39,151,6/25/2023,142
490,367,6/15/2023,128
24,153,6/3/2023,40
273,11,6/17/2023,159
492,188,6/19/2023,161
420,48,6/14/2023,182
34,89,6/19/2023,187
100,319,6/26/2023,77
491,305,6/18/2023,183
101,208,6/19/2023,262
438,265,6/16/2023,280
234,375,6/18/2023,263
13,323,6/20/2023,175
368,390,6/27/2023,167
70,391,6/11/2023,87
470,392,6/14/2023,69
438,393,6/15/2023,31
209,394,6/19/2023,179
495,159,6/23/2023,26
30,150,6/18/2023,170
472,209,6/16/2023,45
27,141,6/13/2023,110
181,221,6/21/2023,105
212,260,6/25/2023,261
182,373,6/26/2023,241
207,358,6/20/2023,51
334,66,6/26/2023,300
199,47,6/17/2023,35
331,137,6/11/2023,247
26,288,6/21/2023,3
224,250,6/20/2023,241
410,321,6/17/2023,181
156,155,6/16/2023,320
315,249,6/19/2023,277
28,34,6/9/2023,305
255,324,6/12/2023,250
391,273,6/20/2023,247
306,38,6/23/2023,112
56,12,6/11/2023,24
482,277,6/20/2023,196
14,109,6/18/2023,192
21,346,6/28/2023,151
6,263,6/12/2023,128
459,182,6/19/2023,1
283,147,6/16/2023,246
147,67,6/24/2023,310
31,220,6/15/2023,168
198,258,6/26/2023,91
423,122,6/24/2023,12
196,308,6/14/2023,53
178,239,6/22/2023,196
175,311,6/18/2023,128
468,245,6/13/2023,19
197,42,6/23/2023,15
336,360,6/8/2023,110
36,238,6/11/2023,119
236,197,6/16/2023,237
94,385,6/16/2023,142
487,364,6/11/2023,170
417,177,6/17/2023,1
191,203,6/20/2023,165
494,53,6/27/2023,229
88,63,6/15/2023,57
339,253,6/25/2023,187
213,377,6/23/2023,135
32,114,6/24/2023,143
150,49,6/9/2023,12
126,261,6/9/2023,272
452,226,6/10/2023,312
258,284,6/13/2023,302
477,73,6/20/2023,266
134,69,6/21/2023,295
412,307,6/27/2023,10
66,368,6/11/2023,60
89,275,6/17/2023,302
99,111,6/16/2023,126
121,282,6/25/2023,72
441,268,6/9/2023,31
183,157,6/22/2023,238
139,85,6/19/2023,311
269,70,6/18/2023,41
168,370,6/23/2023,171
194,20,6/15/2023,217
418,256,6/16/2023,82
77,345,6/10/2023,311
464,254,6/15/2023,188
165,24,6/10/2023,310
148,96,6/17/2023,122
422,310,6/16/2023,199
102,302,6/20/2023,309
369,316,6/13/2023,6
118,213,6/17/2023,79
260,139,6/15/2023,152
316,15,6/23/2023,103
16,355,6/25/2023,189
340,312,6/17/2023,297
222,121,6/17/2023,75
90,313,6/21/2023,136
398,173,6/16/2023,158
285,51,6/19/2023,232
462,56,6/13/2023,216
242,381,6/20/2023,267
25,362,6/15/2023,243
180,298,6/22/2023,3
55,13,6/17/2023,45
382,76,6/25/2023,250
480,227,6/18/2023,63
501,136,6/9/2023,215
95,43,6/18/2023,18
446,279,6/13/2023,99
228,309,6/12/2023,275
124,222,6/25/2023,153
371,306,6/25/2023,190
326,371,6/12/2023,247
446,175,6/15/2023,59
124,276,6/16/2023,39
158,334,6/11/2023,171
371,59,6/19/2023,286
155,32,6/8/2023,141
46,135,6/20/2023,30
86,218,6/16/2023,165
170,36,6/17/2023,120
497,314,6/22/2023,235
72,189,6/13/2023,239
314,331,6/18/2023,27
68,357,6/16/2023,8
303,348,6/13/2023,306
239,300,6/26/2023,22
289,170,6/14/2023,124
280,194,6/12/2023,7
454,118,6/18/2023,21
17,361,6/16/2023,255
60,337,6/18/2023,316
475,55,6/18/2023,199
205,295,6/21/2023,139
193,179,6/19/2023,141
353,183,6/21/2023,281
216,52,6/19/2023,36
429,299,6/10/2023,117
312,5,6/25/2023,213
402,342,6/20/2023,262
104,18,6/21/2023,124
478,86,6/19/2023,191
179,259,6/15/2023,89
161,174,6/23/2023,13
225,92,6/10/2023,220
346,165,6/24/2023,51
184,353,6/17/2023,247
313,344,6/20/2023,193
393,236,6/13/2023,194
11,61,6/15/2023,33
496,167,6/26/2023,299
82,54,6/17/2023,28
358,204,6/14/2023,89
217,127,6/17/2023,132
413,336,6/16/2023,187
252,138,6/18/2023,240
329,354,6/8/2023,44
214,186,6/20/2023,284
308,22,6/15/2023,276
261,217,6/23/2023,313
272,231,6/20/2023,83
153,181,6/9/2023,293
83,359,6/22/2023,283
463,39,6/26/2023,225
57,372,6/22/2023,162
276,199,6/13/2023,256
328,294,6/8/2023,223
400,120,6/21/2023,124
47,244,6/13/2023,76
250,68,6/14/2023,251
431,356,6/20/2023,222
247,107,6/17/2023,128
8,237,6/15/2023,90
416,241,6/24/2023,314
87,202,6/20/2023,204
342,374,6/18/2023,251
97,27,6/15/2023,88
295,240,6/20/2023,50
63,50,6/16/2023,126
20,2,6/17/2023,316
337,206,6/21/2023,56
300,229,6/24/2023,234
338,327,6/19/2023,100
123,79,6/14/2023,211
381,143,6/14/2023,7
190,126,6/20/2023,140
171,205,6/10/2023,314
419,158,6/20/2023,124
453,152,6/10/2023,165
4,58,6/24/2023,244
232,102,6/7/2023,218
500,332,6/13/2023,60
439,171,6/25/2023,9
277,365,6/23/2023,209
343,286,6/16/2023,168
481,351,6/14/2023,207
220,291,6/21/2023,14
292,95,6/11/2023,34
307,262,6/13/2023,205
347,105,6/16/2023,252
405,343,6/9/2023,257
333,246,6/19/2023,239
129,106,6/21/2023,63
279,161,6/12/2023,64
22,269,6/21/2023,59
59,379,6/19/2023,28
445,30,6/17/2023,122
466,318,6/22/2023,138
204,130,6/19/2023,134
174,117,6/26/2023,293
67,234,6/9/2023,161
80,198,6/14/2023,141
406,216,6/9/2023,84
237,8,6/22/2023,31
79,211,6/19/2023,226
149,223,6/14/2023,206
440,162,6/19/2023,233
39,151,6/26/2023,96
490,367,6/16/2023,176
24,153,6/4/2023,75
273,11,6/20/2023,83
492,188,6/20/2023,31
34,89,6/17/2023,256
100,319,6/27/2023,161
70,215,6/16/2023,143
470,193,6/17/2023,200
234,375,6/19/2023,163
13,323,6/22/2023,95
368,390,7/2/2023,45
70,391,6/14/2023,33
470,392,6/18/2023,61
438,393,6/18/2023,58
209,394,6/21/2023,228
495,159,6/20/2023,198
30,150,6/18/2023,185
302,317,6/15/2023,177
472,209,6/17/2023,266
76,134,6/15/2023,15
27,141,6/13/2023,287
320,14,6/17/2023,230
181,221,6/21/2023,276
188,142,6/3/2023,87
212,260,6/25/2023,38
182,373,6/26/2023,282
207,358,6/21/2023,107
334,66,6/26/2023,254
331,137,6/11/2023,314
26,288,6/21/2023,49
224,250,6/22/2023,178
410,321,6/17/2023,102
28,34,6/8/2023,244
391,273,6/21/2023,287
306,38,6/23/2023,202
56,12,6/11/2023,65
482,277,6/23/2023,13
14,109,6/17/2023,57
84,81,6/11/2023,142
21,346,6/28/2023,144
461,108,6/18/2023,219
6,263,6/12/2023,208
459,182,6/21/2023,97
283,147,6/17/2023,156
31,220,6/15/2023,98
198,258,6/26/2023,297
423,122,6/24/2023,7
196,308,6/13/2023,56
178,239,6/22/2023,100
175,311,6/18/2023,133
468,245,6/12/2023,19
336,360,6/8/2023,97
5,191,6/10/2023,129
36,238,6/14/2023,188
233,168,6/15/2023,137
236,197,6/16/2023,105
94,385,6/15/2023,57
251,378,6/14/2023,290
195,329,6/4/2023,178
395,80,6/11/2023,94
487,364,6/11/2023,311
417,177,6/17/2023,296
191,203,6/18/2023,79
494,53,6/27/2023,201
88,63,6/15/2023,220
339,253,6/24/2023,209
278,112,6/15/2023,79
213,377,6/23/2023,12
299,233,6/21/2023,208
32,114,6/27/2023,298
91,257,6/16/2023,191
150,49,6/9/2023,259
126,261,6/8/2023,318
452,226,6/10/2023,106
258,284,6/13/2023,43
134,69,6/21/2023,189
412,307,7/2/2023,50
66,368,6/8/2023,54
89,275,6/17/2023,31
99,111,6/15/2023,67
121,282,6/25/2023,97
441,268,6/8/2023,88
476,98,6/9/2023,200
139,85,6/19/2023,37
269,70,6/18/2023,150
168,370,6/21/2023,167
194,20,6/14/2023,153
418,256,6/17/2023,272
77,345,6/12/2023,66
464,254,6/15/2023,164
165,24,6/13/2023,289
148,96,6/17/2023,87
102,302,6/19/2023,97
369,316,6/13/2023,143
396,99,6/13/2023,284
118,213,6/17/2023,125
260,139,6/15/2023,308
316,15,6/23/2023,2
16,355,6/25/2023,166
222,121,6/17/2023,112
90,313,6/21/2023,142
285,51,6/19/2023,291
462,56,6/15/2023,73
73,366,6/11/2023,152
242,381,6/20/2023,249
25,362,6/15/2023,306
384,131,6/19/2023,25
180,298,6/22/2023,103
382,76,6/25/2023,188
386,6,6/19/2023,190
201,21,6/12/2023,4
480,227,6/20/2023,119
501,136,6/9/2023,156
95,43,6/18/2023,111
446,279,6/13/2023,83
228,309,6/12/2023,101
124,222,6/25/2023,242
158,382,6/4/2023,43
326,371,6/12/2023,201
446,175,6/15/2023,301
444,271,6/10/2023,77
124,276,6/16/2023,30
158,334,6/11/2023,172
371,59,6/19/2023,54
46,135,6/20/2023,150
473,235,6/12/2023,118
86,218,6/16/2023,306
170,36,6/17/2023,87
497,314,6/22/2023,14
72,189,6/14/2023,155
314,331,6/20/2023,103
68,357,6/16/2023,17
303,348,6/13/2023,64
286,267,6/17/2023,285
289,170,6/14/2023,238
323,40,6/14/2023,192
280,194,6/13/2023,99
454,118,6/16/2023,242
17,361,6/15/2023,131
60,337,6/18/2023,115
475,55,6/18/2023,263
41,290,6/7/2023,149
205,295,6/21/2023,67
193,179,6/19/2023,88
216,52,6/18/2023,224
429,299,6/10/2023,315
312,5,6/25/2023,311
138,64,6/8/2023,101
104,18,6/20/2023,17
478,86,6/19/2023,318
179,259,6/13/2023,230
74,289,6/14/2023,300
161,174,6/21/2023,315
225,92,6/11/2023,216
184,353,6/16/2023,135
411,369,6/7/2023,5
442,172,6/6/2023,48
275,100,6/11/2023,41
499,243,6/12/2023,185
393,236,6/15/2023,55
11,61,6/16/2023,215
82,54,6/17/2023,221
358,204,6/16/2023,302
112,41,6/9/2023,277
235,190,6/8/2023,89
367,110,6/21/2023,242
252,138,6/18/2023,72
329,354,6/8/2023,84
214,186,6/20/2023,188
308,22,6/15/2023,137
345,87,6/13/2023,162
261,217,6/24/2023,192
43,37,6/17/2023,126
137,386,6/13/2023,282
9,140,6/15/2023,125
153,181,6/10/2023,271
83,359,6/22/2023,247
463,39,6/23/2023,118
109,304,6/14/2023,199
57,372,6/22/2023,112
276,199,6/13/2023,170
403,330,6/13/2023,226
243,124,6/13/2023,11
157,384,6/14/2023,191
328,294,6/9/2023,80
400,120,6/24/2023,130
87,202,6/20/2023,65
342,374,6/18/2023,156
97,27,6/15/2023,255
63,50,6/16/2023,278
20,2,6/19/2023,26
337,206,6/21/2023,60
300,229,6/24/2023,192
338,327,6/19/2023,194
123,79,6/14/2023,84
381,143,6/14/2023,57
190,126,6/20/2023,169
171,205,6/6/2023,57
419,158,6/20/2023,86
453,152,6/10/2023,75
232,102,6/10/2023,125
500,332,6/15/2023,83
277,365,6/22/2023,101
343,286,6/16/2023,267
220,291,6/18/2023,119
292,95,6/8/2023,99
307,262,6/13/2023,220
347,105,6/14/2023,293
405,343,6/8/2023,284
333,246,6/18/2023,136
129,106,6/21/2023,230
22,269,6/21/2023,318
59,379,6/17/2023,78
466,318,6/22/2023,82
204,130,6/19/2023,243
174,117,6/26/2023,152
80,198,6/14/2023,194
406,216,6/9/2023,99
237,8,6/22/2023,105
79,211,6/15/2023,77
440,162,6/19/2023,144
39,151,6/26/2023,181
490,367,6/16/2023,239
24,153,6/5/2023,270
273,11,6/20/2023,190
492,188,6/20/2023,47
420,48,6/15/2023,60
491,305,6/18/2023,59
101,208,6/21/2023,134
70,215,6/15/2023,190
470,193,6/12/2023,25
234,375,6/19/2023,10
368,390,6/29/2023,179
70,391,6/11/2023,156
470,392,6/17/2023,39